sku,family,M,N,K,dtype,median_s,iqr_s,n_iters
v5e,random,136,752,192,bf16,0.00010802500001716453,2.48750000508835e-06,20
v5e,random,136,752,192,int8,0.00010774000000424167,5.092499989700627e-06,20
v5e,random,144,288,9312,bf16,0.0001260549999955174,1.6875000170557541e-06,20
v5e,random,144,288,9312,int8,0.0001242649999966261,5.055750001758952e-06,20
v5e,random,144,6624,10736,bf16,0.0003179950000031795,3.724750015976497e-06,20
v5e,random,152,4200,144,bf16,0.00012495999997952367,4.184999987444371e-06,20
v5e,random,160,4464,2528,bf16,0.00014080549999562209,2.9675000163820187e-06,20
v5e,random,160,4464,2528,int8,0.000129395000001864,2.942499996549941e-06,20
v5e,random,176,816,1032,bf16,0.0001231894999875749,1.6599999881350413e-06,20
v5e,random,176,816,1032,int8,0.00012216000000364602,3.642500004730209e-06,20
v5e,random,176,7592,176,bf16,0.0001284699999928307,3.4599999878537346e-06,20
v5e,random,184,184,8672,bf16,0.0001263599999674625,3.919999983281741e-06,20
v5e,random,184,424,2080,bf16,0.00012422000000356093,1.7255000130944609e-06,20
v5e,random,184,1296,1024,bf16,0.00012564499999712098,2.432499982774061e-06,20
v5e,random,184,1448,4736,bf16,0.00013794550000056915,3.81249999747979e-06,20
v5e,random,184,1856,328,bf16,0.0001272399999834306,2.388250024409899e-06,20
v5e,random,184,5456,6888,bf16,0.00019998500002316177,2.841750031734591e-06,20
v5e,random,192,7280,5832,bf16,0.00021374000002083449,2.8549999910865154e-06,20
v5e,random,200,2128,336,bf16,0.00012443500000358654,1.3420000016139966e-05,20
v5e,random,208,136,616,bf16,0.00012443500000358654,2.989999984492897e-06,20
v5e,random,208,136,616,int8,0.00012464000002410103,2.2725000263790207e-06,20
v5e,random,216,1152,872,bf16,0.00012668999997345054,3.2024999825353007e-06,20
v5e,random,216,2712,11512,bf16,0.00019910500003561538,3.0700000053229815e-06,20
v5e,random,216,2712,11512,int8,0.00016717500000140717,3.967500006751834e-06,20
v5e,random,224,928,128,bf16,0.0001276250000046275,2.7925000125605948e-06,20
v5e,random,224,928,128,int8,0.00012940499999558597,3.575000022237873e-06,20
v5e,random,240,3320,2960,bf16,0.00015485000002968263,3.609999993159363e-06,20
v5e,random,240,4344,504,bf16,0.00013403500000208624,2.7849999639784073e-06,20
v5e,random,240,4344,504,int8,0.0001336650000212103,3.9100000037706195e-06,20
v5e,random,248,584,4128,bf16,0.0001346249999869542,3.2375000103002094e-06,20
v5e,random,264,14352,9608,bf16,0.0005611950000172783,3.068250009619078e-06,20
v5e,random,264,14352,9608,int8,0.00036955499999180574,4.217499949277226e-06,20
v5e,random,272,2240,3752,bf16,0.0001465400000029149,3.80724998194637e-06,20
v5e,random,296,2112,1728,bf16,0.00013375000000337423,2.115000015123769e-06,20
v5e,random,296,2208,13392,bf16,0.0002211299999999028,4.263250019675979e-06,20
v5e,random,304,848,176,bf16,0.0001223799999934272,2.4750000164885932e-06,20
v5e,random,304,848,176,int8,0.00012515000003077148,8.187750040633546e-06,20
v5e,random,304,8440,1776,bf16,0.00017292000003976682,4.667500007826675e-06,20
v5e,random,312,13696,6240,bf16,0.0004433100000085233,4.112500008091047e-06,20
v5e,random,320,3344,336,bf16,0.0001270900000065467,2.574999996340921e-06,20
v5e,random,328,8432,1984,bf16,0.00018170499998859668,4.020000005766633e-06,20
v5e,random,328,8432,1984,int8,0.00015320500003213056,4.4724999810341615e-06,20
v5e,random,328,12552,288,bf16,0.00015376499999320004,6.250000012641976e-06,20
v5e,random,336,2808,5888,bf16,0.00019119999998906678,2.132500043217078e-06,20
v5e,random,336,14296,3328,bf16,0.00029311000000120657,2.482499994016507e-06,20
v5e,random,344,12376,752,bf16,0.00016002999998931955,5.395000002295092e-06,20
v5e,random,392,3736,3744,bf16,0.0001856100000168226,2.9424999894445136e-06,20
v5e,random,400,4848,2912,bf16,0.00018584499997587045,3.5267500209101854e-06,20
v5e,random,400,4848,2912,int8,0.00015289999996070947,4.077499980326138e-06,20
v5e,random,408,9000,176,bf16,0.00014540500001203327,3.0300000020133666e-06,20
v5e,random,408,9000,176,int8,0.00014786049999315765,4.254999993236197e-06,20
v5e,random,448,184,144,bf16,0.00012542050001229654,2.2450000045637353e-06,20
v5e,random,448,184,144,int8,0.00012123500002303444,2.2802500012630844e-06,20
v5e,random,520,2200,1888,bf16,0.00014472500001261324,2.4635000102080085e-06,20
v5e,random,552,1000,152,bf16,0.00012186549997750262,2.070000050480303e-06,20
v5e,random,552,1000,152,int8,0.00012108499998930711,2.2149999665543874e-06,20
v5e,random,576,480,8440,bf16,0.00014516000001663087,2.3004999718523322e-06,20
v5e,random,576,480,8440,int8,0.00013137950000441379,5.344749993696496e-06,20
